IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
18.162.246.4,18443,true,HKG,Asia Pacific,Hong Kong,36,20.82
18.162.149.209,10001,true,HKG,Asia Pacific,Hong Kong,19,20.21
166.88.77.171,54321,true,HKG,Asia Pacific,Hong Kong,22,20.15
18.162.50.202,4321,true,HKG,Asia Pacific,Hong Kong,37,19.18
18.162.54.0,18443,true,HKG,Asia Pacific,Hong Kong,26,18.92
35.220.247.11,42235,true,HKG,Asia Pacific,Hong Kong,168,17.21
18.166.149.73,18443,true,HKG,Asia Pacific,Hong Kong,43,15.27
154.211.96.65,8808,true,SIN,Asia Pacific,Singapore,50,15.19
34.150.4.188,10000,true,HKG,Asia Pacific,Hong Kong,49,15.04
18.163.126.157,18443,true,HKG,Asia Pacific,Hong Kong,50,14.86
38.6.224.251,808,true,HKG,Asia Pacific,Hong Kong,32,14.43
35.220.247.11,10001,true,HKG,Asia Pacific,Hong Kong,202,14.36
103.46.185.224,777,true,HKG,Asia Pacific,Hong Kong,19,14.15
38.47.107.181,5701,true,HKG,Asia Pacific,Hong Kong,37,10.57
112.120.127.167,113,true,SJC,North America,San Jose,47,8.92
8.218.97.8,4343,true,HKG,Asia Pacific,Hong Kong,19,7.68
16.162.34.134,18443,true,HKG,Asia Pacific,Hong Kong,46,5.93
