IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
154.92.9.171,8443,true,SEA,North America,Seattle,159,13.12
154.92.9.121,8443,true,SEA,North America,Seattle,163,12.63
154.92.9.140,8443,true,SEA,North America,Seattle,161,12.40
154.92.9.24,8443,true,SEA,North America,Seattle,163,11.81
154.92.9.146,8443,true,SEA,North America,Seattle,161,11.76
154.92.9.173,8443,true,SEA,North America,Seattle,165,10.79
154.92.9.240,8443,true,SEA,North America,Seattle,164,10.07
154.92.9.43,8443,true,SEA,North America,Seattle,159,9.18
154.92.9.138,8443,true,SEA,North America,Seattle,164,9.03
154.92.9.220,8443,true,SEA,North America,Seattle,160,8.95
154.92.9.53,8443,true,SEA,North America,Seattle,184,8.66
154.92.9.177,8443,true,SEA,North America,Seattle,178,8.59
154.92.9.45,8443,true,SEA,North America,Seattle,176,6.27
154.92.9.191,8443,true,SEA,North America,Seattle,163,5.74
154.92.9.234,8443,true,SEA,North America,Seattle,158,5.64
